island_code,atoll,island_name
LD0002,Noonu,Maavelavaru
LD0003,Gaafu Dhaalu,Keraminthaa
LD0004,Alifu Alifu,Maalhos
LD0005,Thaa, 
LD0006,Gaafu Dhaalu,Dhigelaabadhuvaa
LD0007,Kaafu,Thulusdhoo Irumathee Huraagan'du
LD0008,Faafu,Feeali
LD0009,Alifu Dhaalu,Omadhoo
LD0010,Gaafu Dhaalu,Farehulhehdhoo
LD0012,Dhaalu,Vommuli
LD0013,Faafu,Adhangau
LD0014,Haa Alifu,Kudafinolhu
LD0015,Lhaviyani,Lhohi
LD0016,Shaviyani,Maaun'goodhoo
LD0017,Haa Dhaalu,Veligan'du
LD0018,Raa,Kurehdhoo
LD0019,Dhaalu,Vaanee
LD0020,Lhaviyani,Naifaru
LD0021,Alifu Dhaalu,Ariyadhoo
LD0022,Baa,Kanufushi
LD0023,Gaafu Dhaalu,Hulhuvaarulaa
LD0024,Gaafu Alifu,Maamutaa
LD0025,Raa,Kudalhosgiri
LD0026,Kaafu,Boduban'dos
LD0027,Alifu Alifu,Kan'dholhudhoo
LD0028,Gaafu Alifu,Keredhdhoo
LD0029,Thaa,Lhavaddoo
LD0030,Faafu, 
LD0031,Laamu,Kalhaidhoo
LD0032,Gaafu Dhaalu,Gahevelegalaa
LD0033,Meemu,Gongalihuraa
LD0034,Thaa,Kalhufahalafushi
LD0035,Seenu,Vilin'gili
LD0036,Kaafu,Helen'geli
LD0038,Gaafu Dhaalu,Bolimathaidhua
LD0039,Gaafu Dhaalu,Hakandoo
LD0040,Thaa,Hikan'dhilhohi
LD0041,Thaa,Kafidhoo
LD0042,Gaafu Dhaalu,Dhekaamba
LD0043,Raa,Filaidhoo
LD0044,Baa,Fulhadhoo
LD0045,Meemu,Gasveli
LD0046,Lhaviyani,Felivaru
LD0047,Haa Dhaalu,Innafushi
LD0048,Haa Dhaalu,Kulhudhuffushi
LD0049,Shaviyani,Firun'baidhoo
LD0051,Vaavu,Aarah
LD0052,Laamu,Dhekunuvinagan'du
LD0053,Laamu,Kudamaabulhali
LD0054,Gaafu Alifu,Maafehelaa
LD0055,Baa,Bathalaa
LD0056,Gaafu Alifu,Fulan'gi
LD0057,Seenu,Bedhey Aurah
LD0058,Raa,Furaveri
LD0059,Baa,Kudarikilu
LD0060,Laamu,Burrahaa
LD0061,Meemu,Kolhufushi
